timediff, signalLevel, blinkStrength, attention, meditation, lowGamma, highGamma, highAlpha, delta, highBeta, lowAlpha, lowBeta, theta
0.33519983291625977, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
0.8473453521728516, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.3615715503692627, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1.8624353408813477, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.365084409713745, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
2.880709648132324, 200, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3.3972833156585693, 200, 0, 0, 0, 106093, 934572, 195251, 1047183, 308950, 109689, 25750, 1313852
3.645937204360962, 200, 0, 0, 0, 73947, 1551270, 441837, 1451655, 180019, 223467, 122040, 479258
3.899641990661621, 200, 0, 0, 0, 256264, 624156, 243860, 470408, 154804, 197012, 78246, 501967
4.1500794887542725, 200, 0, 0, 0, 166083, 767833, 671530, 399836, 245080, 69858, 85727, 1107737
5.115784168243408, 200, 0, 0, 0, 119162, 894370, 393991, 588941, 277534, 68666, 217879, 956801
6.14232611656189, 200, 0, 0, 0, 28011, 188044, 119240, 91022, 45354, 9311, 25384, 446022
8.104859113693237, 200, 0, 0, 0, 122745, 903486, 197266, 877703, 241868, 323517, 172357, 696654
9.10487985610962, 200, 0, 0, 0, 94109, 916995, 334358, 899512, 327547, 207795, 201430, 601566
10.100924968719482, 200, 0, 0, 0, 31524, 1266500, 324714, 872560, 195179, 83375, 123154, 1767338
12.09482455253601, 200, 0, 0, 0, 17556, 377848, 17892, 279776, 69517, 27252, 21779, 593907
13.08869981765747, 200, 0, 0, 0, 176983, 1077080, 986669, 262637, 223289, 325417, 86759, 542740
14.083962678909302, 200, 0, 0, 0, 249153, 721853, 1056908, 356855, 245540, 97867, 56397, 313570
15.089363098144531, 200, 0, 0, 0, 46751, 1348838, 391669, 1076417, 240992, 61536, 66013, 1635024
16.08875346183777, 200, 0, 0, 0, 26316, 329281, 59406, 52144, 43143, 28391, 12627, 429304
17.088549613952637, 200, 0, 0, 0, 137487, 2095418, 144232, 390613, 260808, 126533, 60943, 799653
18.090076208114624, 200, 0, 0, 0, 97579, 945352, 177367, 617969, 776318, 114957, 166779, 749396
19.08748698234558, 200, 0, 0, 0, 291535, 1005840, 210665, 264062, 153219, 206709, 81689, 670453
20.07858419418335, 200, 0, 0, 0, 83333, 675964, 398344, 751254, 669498, 51958, 73318, 551763
21.076157569885254, 200, 0, 0, 0, 87487, 1033103, 338432, 847323, 181280, 97270, 204613, 1109170
